2024-03-19T23:39:35.966+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Frees/21.000", "method": "POST", "time": "541.7µs"}
2024-03-19T23:39:35.968+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.968+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapAlloc/325736.000", "method": "POST", "time": "542µs"}
2024-03-19T23:39:35.970+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.970+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Lookups/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:35.972+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.972+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/TotalAlloc/325736.000", "method": "POST", "time": "537.8µs"}
2024-03-19T23:39:35.973+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.974+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/NumForcedGC/0.000", "method": "POST", "time": "533.5µs"}
2024-03-19T23:39:35.975+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.975+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MSpanInuse/34560.000", "method": "POST", "time": "537.5µs"}
2024-03-19T23:39:35.976+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.977+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapSys/4063232.000", "method": "POST", "time": "530.2µs"}
2024-03-19T23:39:35.979+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.979+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/PauseTotalNs/0.000", "method": "POST", "time": "540.8µs"}
2024-03-19T23:39:35.980+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.981+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapReleased/2998272.000", "method": "POST", "time": "533.2µs"}
2024-03-19T23:39:35.982+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:35.982+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/NumGC/0.000", "method": "POST", "time": "0s"}
